古树名木类别,调查号,树种中文名,消失古树,树种拉丁名,科,属,乡镇名称,村名称,小地名,位置,横坐标,纵坐标,分布,权属,真实树龄,估测树龄,古树等级,树高,胸围,平均冠幅,东西冠幅,南北冠幅,海拔,坡向,坡度,坡位,土壤名称,生长势,生长环境,影响生长环境因素,现存状态,古树历史,管护人单位,管护人,树木特殊状况描述,树种鉴定记载,地上保护现状,养护复壮现状,照片（照片名称，逗号分隔）,图片说明,调查人,调查日期,审核人,审核日期,特征编码,名木类别,名木栽植人,名木栽植时间,备注,,,
古树,00102,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,高笋塘街道,高笋塘社区居委会,党校外公路边,城区,108.3713000,30.8166000,散生,国有,405,405,二级,16,330,13,15,11,250,北,10,下部,紫色土,正常株,差,无,无,无,区园林处,区园林处,无,无,"砌树池,","其它,",,无,熊国鹏,2017-05-31,蔡孔瑜,2018-05-06,1 2 2110 0405 160 0330 013 1 3,纪念树,,2018-05-18,,,,
古树,00107,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,高笋塘街道,高笋塘社区居委会,原军分区院内,城区,108.3720000,30.8098500,散生,国有,425,425,二级,20,630,19,18,20,300,东,5,中部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"砌树池,","其它,",,无,熊国鹏,2017-06-02,蔡孔瑜,2018-05-06,1 2 2110 0425 200 0630 019 1 1,纪念树,,2018-05-18,,,,
古树,00108,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,高笋塘街道,高笋塘社区居委会,原军分区院内,城区,108.3717900,30.8098300,散生,国有,325,325,二级,20,720,22,20,25,300,东,5,中部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"砌树池,","其它,",,无,熊国鹏,2017-06-02,蔡孔瑜,2018-05-06,1 2 2110 0325 200 0720 022 1 1,纪念树,,2018-05-18,,,,
古树,00114,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,高笋塘街道,高笋塘社区居委会,北滨路三峡之星体育场对面,城区,108.3838200,30.8051500,散生,国有,425,425,二级,14,620,10,10,11,180,东,5,下部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"砌树池,","其它,",,无,熊国鹏,2017-05-31,蔡孔瑜,2018-05-06,1 2 2110 0425 140 0620 010 1 1,纪念树,,2018-05-18,,,,
古树,00115,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,高笋塘街道,高笋塘社区居委会,北滨路钟楼对面,城区,108.3829600,30.8067400,散生,国有,325,325,二级,12,365,7,6,8,185,东,5,下部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"砌树池,","其它,",,基部分成两株,熊国鹏,2017-05-31,蔡孔瑜,2018-05-06,1 2 2110 0325 120 0365 007 1 1,纪念树,,2018-05-18,,,,
古树,00118,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,高笋塘街道,高笋塘社区居委会,原卫校校长楼,城区,108.3747000,30.8138000,散生,国有,315,315,二级,5,235,2,2,2,270,东北,5,中部,紫色土,正常株,差,无,无,无,三峡高等专科学院附属医院,三峡高等专科学院附属医院,无,无,"避雷针,","其它,",,树干空洞,熊国鹏,2017-05-20,蔡孔瑜,2018-05-06,1 2 2110 0315 050 0235 002 1 3,纪念树,,2018-05-18,,,,
古树,00119,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,高笋塘街道,高笋塘社区居委会,原卫校附属医院住院部门口,城区,108.3749000,30.8140800,散生,国有,305,305,二级,8,300,5,5,6,270,东北,5,下部,紫色土,正常株,良好,无,无,无,三峡高等专科学院附属医院,三峡高等专科学院附属医院,无,无,"避雷针,","其它,",,树干空洞,熊国鹏,2017-05-20,蔡孔瑜,2018-05-06,1 2 2110 0305 080 0300 005 1 1,纪念树,,2018-05-18,,,,
古树,00130,银杏,,Ginkgo biloba Linn.,银杏科,银杏属,高笋塘街道,东方广场社区居委会,三峡中心医院大门口(住院部),城区,108.3791000,30.8065000,散生,国有,305,305,二级,12,550,7,7,8,230,西,10,中部,紫色土,正常株,良好,无,无,无,三峡中心医院,三峡中心医院,无,无,"砌树池,","其它,",,树干四米处分成三枝！,熊国鹏,2017-05-20,蔡孔瑜,2018-05-06,1 2 1533 0305 120 0550 007 1 1,纪念树,,2018-05-18,,,,
古树,00132,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,高笋塘街道,西山路社区居委会,西山公园(库里申科墓旁),城区,108.3799000,30.8051000,散生,国有,325,325,二级,14,520,18,20,16,200,南,10,下部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"砌树池,","其它,",,无,熊国鹏,2017-05-20,蔡孔瑜,2018-05-06,1 2 2110 0325 140 0520 018 1 1,纪念树,,2018-05-18,,,,
古树,01709,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,太白街道,文化里社区居委会,人事局,城区,108.3660000,30.8179000,散生,国有,300,300,二级,13,185,18,18,18,200,东,5,下部,紫色土,正常株,良好,无,无,无,区人社局培训中心,区人社局培训中心,无,无,"避雷针,","其它,",,无,熊国鹏,2017-06-26,蔡孔瑜,2018-05-04,1 2 2110 0300 130 0185 018 1 1,纪念树,,2018-05-18,,,,
古树,01710,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,太白街道,文化里社区居委会,万里城墙,城区,108.3661000,30.8178000,散生,集体,300,300,二级,13,175,14,14,14,200,东,5,下部,紫色土,正常株,良好,无,无,无,太白街道红光社区,太白街道红光社区,无,无,"避雷针,","其它,",,无,熊国鹏,2017-06-26,蔡孔瑜,2018-05-04,1 2 2110 0300 130 0175 014 1 1,纪念树,,2018-05-18,,,,
古树,01902,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,双河口街道,一碗水社区居委会,赛德国际校,城区,108.3867000,30.7650000,散生,集体,315,315,二级,15,450,21,21,21,250,西,5,下部,紫色土,正常株,良好,无,无,无,赛德国际学校,赛德国际学校,无,无,"避雷针,","其它,",,无,谭述兵,2017-05-08,蔡孔瑜,2018-05-04,1 2 2110 0315 150 0450 021 1 1,纪念树,,2018-05-18,,,,
古树,02003,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,龙都街道,大塘边社区居委会,红旗河沟,城区,108.4122000,30.7669000,散生,国有,405,405,二级,16,230,17,16,18,200,东,5,下部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"避雷针,","其它,",,无,谭述兵,2017-05-08,蔡孔瑜,2018-05-04,1 2 2110 0405 160 0230 017 1 1,纪念树,,2018-05-18,,,,
古树,02004,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,龙都街道,大塘边社区居委会,滚装船车坝,城区,108.4139000,30.7625000,散生,国有,405,405,二级,14,300,19,18,21,195,东,5,下部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"避雷针,","其它,",,无,谭述兵,2017-05-08,蔡孔瑜,2018-05-04,1 2 2110 0405 140 0300 019 1 1,纪念树,,2018-05-18,,,,
古树,02005,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,龙都街道,大塘边社区居委会,龙宝镇政府,城区,108.3889000,30.7633000,散生,国有,305,305,二级,15,320,18,19,17,200,东南,5,下部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"避雷针,","其它,",,无,谭述兵,2017-05-08,蔡孔瑜,2018-05-04,1 2 2110 0305 150 0320 018 1 1,纪念树,,2018-05-18,,,,
古树,02121,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,周家坝街道,映水坪居委会,快活岭,城区,108.3661200,30.8257400,散生,国有,305,305,二级,22,230,10,12,8,240,南,5,脊部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"避雷针,","其它,",,无,谭述兵,2017-05-08,蔡孔瑜,2018-05-04,1 2 2110 0305 220 0230 010 1 1,纪念树,,2018-05-18,,,,
古树,02334,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,钟鼓楼街道,棉花地居委会,北山观,城区,108.3797000,30.8251900,散生,国有,305,305,二级,9,365,18,19,18,220,东南,5,下部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"避雷针,","其它,",,无,谭述兵,2017-05-12,蔡孔瑜,2018-05-04,1 2 2110 0305 090 0365 018 1 1,纪念树,,2018-05-18,,,,
古树,02342,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,钟鼓楼街道,棉花地居委会,石安洞73号,城区,108.3790500,30.8308800,散生,国有,305,305,二级,19,385,13,12,15,350,西,5,脊部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"避雷针,","其它,",,无,谭述兵,2017-05-13,蔡孔瑜,2018-05-04,1 2 2110 0305 190 0385 013 1 1,纪念树,,2018-05-18,,,,
古树,02354,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,钟鼓楼街道,桑树居委会,桑树坪,城区,108.4133000,30.8406400,散生,国有,305,305,二级,17,225,12,9,15,285,南,5,脊部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"避雷针,","其它,",,无,谭述兵,2017-05-14,蔡孔瑜,2018-05-04,1 2 2110 0305 170 0225 012 1 1,纪念树,,2018-05-19,,,,
古树,02501,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,五桥街道,五间桥社区居委会,薄道梁,城区,108.4424700,30.7770200,散生,集体,300,300,二级,12,535,11,12,11,255,东南,5,下部,紫色土,衰弱株,良好,房屋,无,无,五桥街道五间桥社区,五桥街道五间桥社区,无,无,"避雷针,","其它,",,无,熊国鹏,2017-05-09,蔡孔瑜,2018-05-04,1 2 2110 0300 120 0535 011 2 1,纪念树,,2018-05-19,,,,
古树,02502,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,五桥街道,香炉山社区居委会,香炉山,城区,108.4422000,30.7739000,散生,国有,300,300,二级,8,265,6,7,6,260,南,5,平底,紫色土,衰弱株,良好,虫害,无,无,区园林处,区园林处,无,无,"避雷针,","其它,",,树已截干,熊国鹏,2017-05-09,蔡孔瑜,2018-05-04,1 2 2110 0300 080 0265 006 2 1,纪念树,,2018-05-19,,,,
